title,author,description,link,platforms,pg,example_download_link
Overland,Finji,A squad-based survival strategy game with procedurally generated levels set in post-apocalyptic North America.,https://finji.itch.io/overland,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Night in the Woods,Finji,"At the end of everything, hold onto anything.",https://finji.itch.io/night-in-the-woods,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Kenney Game Assets 1,Kenney,"20,000+ game assets for use in your games!",https://kenney.itch.io/kenney-game-assets-1,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Gladiabots,GFX47,AI COMBAT ARENA,https://gfx47.itch.io/gladiabots,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
A Short Hike,adamgryu,a little exploration game about hiking up a mountain,https://adamgryu.itch.io/a-short-hike/download/8WpFP5cgbBtaqEkQMffD8sd5uBHQTV6Sm1OTb6G4,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Sky Rogue,Fractal Phase,"A fwooshy, intense, procedurally generated fly-em-up",https://fractal-phase.itch.io/sky-rogue,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Lancer Core Book: First Edition PDF,Massif Press,"The core rulebook and setting guide for Lancer, a game centered on pilots and their mechs.",https://massif-press.itch.io/corebook-pdf,,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
MewnBase,Cairn4,Planet exploration and survival game with base building.,https://cairn4.itch.io/mewnbase,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
ART SQOOL,Glanderco,~*LET'S DRAW*~,https://glander.itch.io/art-sqool,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
A Mortician's Tale,Laundry Bear Games,A death-positive game where you play as a mortician tasked with running a funeral home,https://laundrybear.itch.io/morticians-tale/download/Lw_67XjY4ZCSMc6arqTV_Z9xvfpngERBnNkt_fUf,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
"Walden, a game",GameInnovationLab,Experience Henry David Thoreau's life in Walden Woods.,https://gameinnovationlab.itch.io/walden,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Oikospiel Book I,DK,A dog opera in five acts,https://dkoikos.itch.io/oikospiel,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Mu Cartographer,Titouan Millet,Experimental Colourful Exploration Machine,https://titouanmillet.itch.io/mu-cartographer,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
EXTREME MEATPUNKS FOREVER,Heather Flowers,Gay disaster mech pilots killing fascists,https://hthr.itch.io/extreme-meatpunks-forever,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
BEACON,monothetic,Sci-fi Action Roguelite. Collect DNA from enemies and mutate yourself to victory!,https://monothetic.itch.io/beacon,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
NIGHT OF THE CONSUMERS,germfood,RETAIL IS HELL,https://germfood.itch.io/nightoftheconsumers,Windows,1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Lenna's Inception,ByttenStudio,Procedurally generated Gameboy-style action-adventure game,https://tccoxon.itch.io/lennas-inception,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Airships: Conquer the Skies,Zarkonnen,Design & fight with steampunk airships,https://zarkonnen.itch.io/airships,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Odd Realm,UnknownOriginGames,Take control of a group of settlers to build a settlement that survives the passing seasons.,https://unknownorigingames.itch.io/oddrealm,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
MidBoss,Eniko,A possession based traditional roguelike with turn-based gameplay.,https://eniko.itch.io/midboss,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Minit,Devolver Digital,Minit is a peculiar little adventure played sixty seconds at a time.,https://devolverdigital.itch.io/minit/download/ZXQqa7osAHcxIo48EK_DVV_cwl_4uGNqLbGQtB8Y,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
LAZA KNITEZ!!,Glitchnap,LAZA KNITEZ!! is a fast-paced jousting deathmatch game for up to 4 players.,https://glitchnap.itch.io/lazaknitez,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
No Delivery,oates,An employee training video gone wrong.,https://horror-n-oates.itch.io/no-delivery,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Fugue in Void,Moshe Linke,experimental exploration game,https://moshelinke.itch.io/fugue-in-void,"Windows, Linux, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
Long Gone Days,Camila Gormaz,"Modern-day RPG that imagines the world of war that's coming for us, with a focus on civilians and language barriers.",https://laburatory.itch.io/lgd,"Windows, macOS",1,https://itch.io/bundle/download/jfQZperdE2sgwxLLjex7TxqJKIXFxDWieWC3_JlO?page=1
